********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/28/2015 07:15,0,0,,17.7,<0> ,,<-5> ,32.6,<0> ,6.6,<0> ,,<-5> ,,<-1> ,,,1.99,<0> ,1.96,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 08:30,0,0,,17.2,<0> ,,<-5> ,32.7,<0> ,6.8,<0> ,,<-5> ,,<-1> ,,,2.38,<0> ,2.34,<3> ,7.9,<0> ,5,<0> ,
elksmwq,P,10/28/2015 08:45,0,0,,17.2,<0> ,,<-5> ,32.7,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,2.45,<0> ,2.41,<3> ,7.9,<0> ,6,<0> ,
elksmwq,P,10/28/2015 09:00,0,0,,17.2,<0> ,,<-5> ,32.7,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,2.53,<0> ,2.49,<3> ,7.9,<0> ,5,<0> ,
elksmwq,P,10/28/2015 09:15,0,0,,17.3,<0> ,,<-5> ,32.5,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,2.60,<0> ,2.56,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/28/2015 09:30,0,0,,17.3,<0> ,,<-5> ,32.7,<0> ,7.3,<0> ,,<-5> ,,<-1> ,,,2.67,<0> ,2.64,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/28/2015 09:45,0,0,,17.3,<0> ,,<-5> ,32.7,<0> ,7.3,<0> ,,<-5> ,,<-1> ,,,2.74,<0> ,2.71,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/28/2015 10:00,0,0,,17.4,<0> ,,<-5> ,32.6,<0> ,7.4,<0> ,,<-5> ,,<-1> ,,,2.80,<0> ,2.77,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 10:15,0,0,,17.4,<0> ,,<-5> ,32.6,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.85,<0> ,2.82,<3> ,7.9,<0> ,10,<0> ,
elksmwq,P,10/28/2015 10:30,0,0,,17.4,<0> ,,<-5> ,32.5,<0> ,0.0,<0> ,0.0,<0> ,,<-1> ,,,2.89,<0> ,2.86,<3> ,,<-4> ,6,<0> ,
elksmwq,P,10/28/2015 10:45,0,0,,17.5,<0> ,,<-5> ,32.5,<0> ,7.2,<0> ,,<-5> ,,<-1> ,,,2.91,<0> ,2.88,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/28/2015 11:00,0,0,,17.6,<0> ,,<-5> ,32.6,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,2.89,<0> ,2.86,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/28/2015 11:15,0,0,,17.7,<0> ,,<-5> ,32.6,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.86,<0> ,2.83,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 11:30,0,0,,17.9,<0> ,,<-5> ,32.6,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,2.82,<0> ,2.79,<3> ,8.0,<0> ,9,<0> ,
elksmwq,P,10/28/2015 11:45,0,0,,18.0,<0> ,,<-5> ,32.6,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,2.77,<0> ,2.74,<3> ,8.0,<0> ,3,<0> ,
elksmwq,P,10/28/2015 12:00,0,0,,18.1,<0> ,,<-5> ,32.7,<0> ,7.9,<0> ,,<-5> ,,<-1> ,,,2.71,<0> ,2.68,<3> ,8.0,<0> ,8,<0> ,
elksmwq,P,10/28/2015 12:15,0,0,,17.9,<0> ,,<-5> ,32.7,<0> ,7.7,<0> ,,<-5> ,,<-1> ,,,2.65,<0> ,2.62,<3> ,8.0,<0> ,4,<0> ,
elksmwq,P,10/28/2015 12:30,0,0,,18.0,<0> ,,<-5> ,32.6,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,2.58,<0> ,2.56,<3> ,8.0,<0> ,8,<0> ,
elksmwq,P,10/28/2015 12:45,0,0,,18.1,<0> ,,<-5> ,32.7,<0> ,7.6,<0> ,,<-5> ,,<-1> ,,,2.51,<0> ,2.49,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/28/2015 13:00,0,0,,18.3,<0> ,,<-5> ,32.7,<0> ,7.6,<0> ,,<-5> ,,<-1> ,,,2.44,<0> ,2.42,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/28/2015 13:15,0,0,,18.4,<0> ,,<-5> ,32.7,<0> ,7.6,<0> ,,<-5> ,,<-1> ,,,2.36,<0> ,2.34,<3> ,8.0,<0> ,7,<0> ,
elksmwq,P,10/28/2015 13:30,0,0,,18.5,<0> ,,<-5> ,32.8,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,2.28,<0> ,2.26,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/28/2015 13:45,0,0,,18.6,<0> ,,<-5> ,32.8,<0> ,7.8,<0> ,,<-5> ,,<-1> ,,,2.19,<0> ,2.18,<3> ,8.0,<0> ,7,<0> ,
elksmwq,P,10/28/2015 14:00,0,0,,18.7,<0> ,,<-5> ,32.7,<0> ,8.0,<0> ,,<-5> ,,<-1> ,,,2.11,<0> ,2.10,<3> ,8.0,<0> ,9,<0> ,
elksmwq,P,10/28/2015 14:15,0,0,,18.8,<0> ,,<-5> ,32.8,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,2.01,<0> ,2.00,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 14:30,0,0,,18.9,<0> ,,<-5> ,32.8,<0> ,8.1,<0> ,,<-5> ,,<-1> ,,,1.92,<0> ,1.91,<3> ,8.0,<0> ,11,<0> ,
elksmwq,P,10/28/2015 14:45,0,0,,18.9,<0> ,,<-5> ,32.8,<0> ,8.4,<0> ,,<-5> ,,<-1> ,,,1.82,<0> ,1.81,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 15:00,0,0,,19.1,<0> ,,<-5> ,32.7,<0> ,8.5,<0> ,,<-5> ,,<-1> ,,,1.73,<0> ,1.72,<3> ,8.0,<0> ,10,<0> ,
