********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/01/2015 00:00,0,0,,18.2,<0> ,51.76,<0> ,34.1,<0> ,82.2,<0> ,6.3,<0> ,,<-1> ,,,1.50,<0> ,1.51,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/01/2015 00:15,0,0,,18.0,<0> ,51.70,<0> ,34.1,<0> ,84.0,<0> ,6.5,<0> ,,<-1> ,,,1.55,<0> ,1.56,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/01/2015 00:30,0,0,,17.9,<0> ,51.63,<0> ,34.0,<0> ,81.8,<0> ,6.3,<0> ,,<-1> ,,,1.59,<0> ,1.60,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/01/2015 00:45,0,0,,17.9,<0> ,51.59,<0> ,34.0,<0> ,82.1,<0> ,6.4,<0> ,,<-1> ,,,1.63,<0> ,1.64,<3> ,7.9,<0> ,8,<0> ,
elksmwq,P,10/01/2015 01:00,0,0,,17.8,<0> ,51.60,<0> ,34.0,<0> ,82.1,<0> ,6.4,<0> ,,<-1> ,,,1.67,<0> ,1.68,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/01/2015 01:15,0,0,,17.7,<0> ,51.48,<0> ,33.9,<0> ,84.9,<0> ,6.6,<0> ,,<-1> ,,,1.69,<0> ,1.70,<3> ,7.9,<0> ,6,<0> ,
elksmwq,P,10/01/2015 01:30,0,0,,17.7,<0> ,51.48,<0> ,33.9,<0> ,72.9,<0> ,5.7,<0> ,,<-1> ,,,1.69,<0> ,1.70,<3> ,7.9,<0> ,7,<0> ,
elksmwq,P,10/01/2015 01:45,0,0,,18.3,<0> ,51.88,<0> ,34.2,<0> ,65.7,<0> ,5.0,<0> ,,<-1> ,,,1.67,<0> ,1.68,<3> ,7.8,<0> ,8,<0> ,
elksmwq,P,10/01/2015 02:00,0,0,,18.1,<0> ,51.83,<0> ,34.2,<0> ,70.4,<0> ,5.4,<0> ,,<-1> ,,,1.64,<0> ,1.65,<3> ,7.8,<0> ,7,<0> ,
elksmwq,P,10/01/2015 02:15,0,0,,18.0,<0> ,51.69,<0> ,34.1,<0> ,74.9,<0> ,5.8,<0> ,,<-1> ,,,1.61,<0> ,1.62,<3> ,7.8,<0> ,7,<0> ,
elksmwq,P,10/01/2015 02:30,0,0,,18.1,<0> ,51.76,<0> ,34.1,<0> ,75.8,<0> ,5.8,<0> ,,<-1> ,,,1.57,<0> ,1.59,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 02:45,0,0,,18.1,<0> ,51.73,<0> ,34.1,<0> ,78.5,<0> ,6.1,<0> ,,<-1> ,,,1.54,<0> ,1.56,<3> ,7.8,<0> ,8,<0> ,
elksmwq,P,10/01/2015 03:00,0,0,,18.1,<0> ,51.76,<0> ,34.1,<0> ,79.1,<0> ,6.1,<0> ,,<-1> ,,,1.48,<0> ,1.49,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 03:15,0,0,,18.2,<0> ,51.80,<0> ,34.1,<0> ,76.3,<0> ,5.9,<0> ,,<-1> ,,,1.43,<0> ,1.44,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 03:30,0,0,,18.4,<0> ,51.82,<0> ,34.2,<0> ,75.2,<0> ,5.8,<0> ,,<-1> ,,,1.39,<0> ,1.40,<3> ,7.8,<0> ,7,<0> ,
elksmwq,P,10/01/2015 03:45,0,0,,18.3,<0> ,51.93,<0> ,34.2,<0> ,72.0,<0> ,5.5,<0> ,,<-1> ,,,1.34,<0> ,1.35,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 04:00,0,0,,18.3,<0> ,51.88,<0> ,34.2,<0> ,73.4,<0> ,5.6,<0> ,,<-1> ,,,1.28,<0> ,1.29,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 04:15,0,0,,18.3,<0> ,51.91,<0> ,34.2,<0> ,72.2,<0> ,5.5,<0> ,,<-1> ,,,1.22,<0> ,1.23,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 04:30,0,0,,18.3,<0> ,51.94,<0> ,34.2,<0> ,72.2,<0> ,5.5,<0> ,,<-1> ,,,1.17,<0> ,1.18,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 04:45,0,0,,18.4,<0> ,51.97,<0> ,34.3,<0> ,72.5,<0> ,5.6,<0> ,,<-1> ,,,1.11,<0> ,1.12,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 05:00,0,0,,18.3,<0> ,51.97,<0> ,34.3,<0> ,70.5,<0> ,5.4,<0> ,,<-1> ,,,1.05,<0> ,1.06,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 05:15,0,0,,18.3,<0> ,52.02,<0> ,34.3,<0> ,70.3,<0> ,5.4,<0> ,,<-1> ,,,1.00,<0> ,1.01,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 05:30,0,0,,18.3,<0> ,51.99,<0> ,34.3,<0> ,67.0,<0> ,5.1,<0> ,,<-1> ,,,0.95,<0> ,0.96,<3> ,7.8,<0> ,7,<0> ,
elksmwq,P,10/01/2015 05:45,0,0,,18.3,<0> ,51.86,<0> ,34.2,<0> ,66.9,<0> ,5.1,<0> ,,<-1> ,,,0.90,<0> ,0.91,<3> ,7.8,<0> ,6,<0> ,
elksmwq,P,10/01/2015 06:00,0,0,,18.3,<0> ,52.01,<0> ,34.3,<0> ,68.9,<0> ,5.3,<0> ,,<-1> ,,,0.85,<0> ,0.86,<3> ,7.8,<0> ,6,<0> ,
